iter	Logloss
146	0.3363113588
147	0.3361900405
148	0.3360872805
149	0.335971378
150	0.3359385717
151	0.3358232312
152	0.3356809245
153	0.335595423
154	0.3355423073
155	0.3354422706
156	0.3354272179
157	0.3353552298
158	0.3352966694
159	0.3352403722
160	0.3351529384
161	0.3350776066
162	0.3350351385
163	0.3349886906
164	0.3348852793
165	0.3347894412
166	0.3346451193
167	0.3345476105
168	0.3344826611
169	0.33436733
170	0.3342837206
171	0.3342223416
172	0.3341431712
173	0.3340596581
174	0.3340161978
175	0.3339426892
176	0.3339027077
177	0.3338338685
178	0.3337157098
179	0.3336261147
180	0.3335500453
181	0.3334952514
182	0.3334593456
183	0.3333991687
184	0.333332985
185	0.3332489199
186	0.3331991839
187	0.3330786185
188	0.3330135645
189	0.3329036413
190	0.3328021029
191	0.3326995679
192	0.3326126566
193	0.3325254137
194	0.3324496826
195	0.3324280196
196	0.3322867973
197	0.3322070078
198	0.3321682166
199	0.3320232787
200	0.331996361
201	0.3319234154
202	0.3318339647
203	0.3317091832
204	0.3316602095
205	0.3316261537
206	0.3315859204
207	0.3314617947
208	0.3313454654
209	0.3313051828
210	0.3312343918
211	0.3312122939
212	0.3310873159
213	0.3310532925
214	0.3309576907
215	0.330922691
216	0.3308625611
217	0.3307981507
218	0.3307559934
219	0.330708088
220	0.3306142156
221	0.3304773893
222	0.330408315
223	0.330365874
224	0.3303322776
225	0.3302285141
226	0.3301921545
227	0.3301222293
228	0.3300683321
229	0.3299425119
230	0.3298287435
231	0.3297719376
232	0.3296993506
233	0.3296404695
234	0.3295216629
235	0.3294519994
236	0.3294137409
237	0.3293121133
238	0.3292339015
239	0.3291382778
240	0.3290637594
241	0.3289881456
242	0.3288956955
243	0.3288094797
244	0.328733803
245	0.328716151
246	0.3286957172
247	0.3286235705
248	0.328569328
249	0.3284826304
250	0.3284338256
251	0.3283780533
252	0.3283411298
253	0.328239468
254	0.3281759176
255	0.3281281941
256	0.3280533223
257	0.3279530644
258	0.3278865402
259	0.3278592421
260	0.3277748404
261	0.3276991838
262	0.3276251887
263	0.327552681
264	0.3274391259
265	0.3274119252
266	0.327406394
267	0.3272964953
268	0.3272159423
269	0.3271499486
270	0.3270340434
271	0.3269709754
272	0.3268836473
273	0.3268442149
274	0.3267601106
275	0.3266718324
276	0.3265490538
277	0.3264490734
278	0.3264108711
279	0.3263926948
280	0.3263767934
281	0.326325738
282	0.326255548
283	0.3261638818
284	0.326140117
285	0.3260614283
286	0.3260084379
287	0.325944148
288	0.3258740153
289	0.3257728206
290	0.3256896516
291	0.3256436076
292	0.3255561405
293	0.3254501599
294	0.3253547709
295	0.3252700159
296	0.3252194727
297	0.3251343148
298	0.3250717152
299	0.3250427042
300	0.3249825273
301	0.3248660446
302	0.3248140686
303	0.3247308663
304	0.3246582195
305	0.3245837698
306	0.3244853933
307	0.3244674686
308	0.3243922322
309	0.3243324756
310	0.3242659381
311	0.3242082547
312	0.3241498561
313	0.3240917891
314	0.3240562081
315	0.3239866565
316	0.3239205336
317	0.3238326205
318	0.3237527405
319	0.3236460817
320	0.3235603552
321	0.3234344748
322	0.3233935354
323	0.3233111502
324	0.3232434146
325	0.3231110997
326	0.3230553558
327	0.3229442772
328	0.322850278
329	0.3227704401
330	0.3226763692
331	0.3225984233
332	0.3225470943
333	0.3224582674
334	0.3223891664
335	0.3223371957
336	0.3222575618
337	0.3221272244
338	0.3220227037
339	0.3219286255
340	0.3218250975
341	0.3217460102
342	0.3216974962
343	0.3216286262
344	0.3215943597
345	0.3215091126
346	0.321424703
347	0.3213494991
348	0.3212895323
349	0.3212577538
350	0.3211525593
351	0.321129157
352	0.3210623603
353	0.3210442325
354	0.3209323894
355	0.3208499144
356	0.320724261
357	0.3206815106
358	0.3205687785
359	0.3204779496
360	0.3204349285
361	0.3203613825
362	0.320259117
363	0.3201863876
364	0.3201145632
365	0.3200234533
366	0.3199582232
367	0.3198944914
368	0.3198267577
369	0.3197439698
370	0.319646545
371	0.3195763165
372	0.319539543
373	0.3194997388
374	0.3194011013
375	0.3193790871
376	0.3193206748
377	0.3192127717
378	0.3190817207
379	0.3190005948
380	0.3188984474
381	0.3187949634
382	0.3187477458
383	0.3186698681
384	0.3185861668
385	0.3185749427
386	0.3185193819
387	0.3184404203
388	0.3183625972
389	0.3182982418
390	0.3182040493
391	0.3181462329
392	0.3180457944
393	0.317979105
394	0.3179064529
395	0.3178070599
396	0.3177773908
397	0.3177550184
398	0.3177257411
399	0.3176933916
400	0.3176246339
401	0.3175251071
402	0.3174778171
403	0.3174140211
404	0.3172885189
405	0.3172197796
406	0.3171492851
407	0.3170980218
408	0.3170383352
409	0.316920396
410	0.3168929496
411	0.3168469466
412	0.3167854825
413	0.3166943066
414	0.3166337864
415	0.3165903593
416	0.3165732145
417	0.3165107928
418	0.3164337496
419	0.3163306891
420	0.3162736567
421	0.3162026698
422	0.3161714619
423	0.3160916682
424	0.3159997652
425	0.3159228641
426	0.3159034815
427	0.3158368305
428	0.3157594433
429	0.3157122104
430	0.3156464577
431	0.3155819538
432	0.3155081588
433	0.3153962191
434	0.3153700304
435	0.3152553734
436	0.3152302891
437	0.3151671149
438	0.3151436794
439	0.3150551527
440	0.3150473944
441	0.3149511607
442	0.3148936281
443	0.3148327685
444	0.314727081
445	0.3146280202
446	0.3145470449
447	0.3144665752
448	0.314408363
449	0.3143545349
450	0.3143137337
451	0.3143070849
452	0.3142805786
453	0.3142008733
454	0.3141081299
455	0.3140450523
456	0.3140116842
457	0.3139302429
458	0.3138508794
459	0.3137468667
460	0.3136451228
461	0.313587774
462	0.3135289289
463	0.3134844406
464	0.3134071193
465	0.313339163
466	0.3133084466
467	0.313222638
468	0.3131656855
469	0.3130948144
470	0.3130172161
471	0.3129518541
472	0.3128687504
473	0.3128069802
474	0.3127499217
475	0.3126831761
476	0.3126620406
477	0.3126533605
478	0.3125863952
479	0.3125522125
480	0.3125350724
481	0.3124441166
482	0.3123757033
483	0.3123505304
484	0.3122996179
485	0.3122259938
486	0.3121304093
487	0.3120627195
488	0.3119519403
489	0.311863352
490	0.3118403927
491	0.3118205313
492	0.3117063494
493	0.3116215145
494	0.3115555976
495	0.3114854819
496	0.3114122967
497	0.3113365751
498	0.3112648829
499	0.3112126507
500	0.3111298899
501	0.3110919294
502	0.3110285167
503	0.3109769637
504	0.3108743866
505	0.3108218099
506	0.3107361264
507	0.31064526
508	0.3105457833
509	0.3104948423
510	0.3104027082
511	0.3103536832
512	0.3103079142
513	0.3102641916
514	0.3101863051
515	0.3100950322
516	0.3100202564
517	0.3099628409
518	0.3098831362
519	0.3097959891
520	0.309719759
521	0.309649086
522	0.3096388695
523	0.3095852182
524	0.3095017361
525	0.3094020519
526	0.3093571896
527	0.3092754819
528	0.3092395823
529	0.3091703365
530	0.3091674777
531	0.309080102
532	0.3089880531
533	0.3089583281
534	0.3089553511
535	0.30889513
536	0.3088346278
537	0.3087636175
538	0.3087254962
539	0.3086428019
540	0.308611906
541	0.308553923
542	0.3085359852
543	0.3084340268
544	0.3083662369
545	0.3083395488
546	0.3082978725
547	0.3082336251
548	0.3082228761
549	0.3081398448
550	0.3080462447
551	0.3079717544
552	0.3079268382
553	0.3078773595
554	0.3078746392
555	0.3078179299
556	0.3077206993
557	0.3076638255
558	0.307618014
559	0.3075415305
560	0.3075395386
561	0.3074868749
562	0.3074348869
563	0.3073729137
564	0.3072948826
565	0.3072297618
566	0.3071585002
567	0.3071052431
568	0.3070603071
569	0.3069991817
570	0.3069582261
571	0.3068902984
572	0.3068313848
573	0.3067433696
574	0.3067047817
575	0.3066472819
576	0.3065697446
577	0.306474391
578	0.3063900724
579	0.3063196152
580	0.3062302109
581	0.3061450156
582	0.3060992661
583	0.3060974511
584	0.30600074
585	0.3059179788
586	0.3058663693
587	0.3057669181
588	0.3057044545
589	0.3056516932
590	0.3055910453
591	0.3055071538
592	0.3054186767
593	0.3053348962
594	0.305273758
595	0.305204407
596	0.3051621266
597	0.3051131135
598	0.3050466174
599	0.3049793701
600	0.3049368703
601	0.3048576207
602	0.3048321904
603	0.3047626867
604	0.3047090119
605	0.3046898784
606	0.3046316596
607	0.304545796
608	0.3044884331
609	0.3044343879
610	0.3043531036
611	0.304286436
612	0.3041905927
613	0.3040953494
614	0.3040163785
615	0.3040126885
616	0.3040078921
617	0.3039335228
618	0.303862241
619	0.3038329899
620	0.3037735789
621	0.3037144633
622	0.3036890626
623	0.3036233007
624	0.3035562496
625	0.3035082119
626	0.3034417786
627	0.3033688053
628	0.3033359677
629	0.3032761516
630	0.303193979
631	0.3031772356
632	0.3031043254
633	0.3030367088
634	0.302960537
635	0.3028709013
636	0.3027851648
637	0.3027454002
638	0.3027027327
639	0.302662563
640	0.3025474828
641	0.3025371706
642	0.3024909793
643	0.3024367289
644	0.3024069474
645	0.3023624473
646	0.3022811437
647	0.302192584
648	0.3020834872
649	0.3020435312
650	0.3019532709
651	0.3018780556
652	0.3018071177
653	0.3017632363
654	0.3017292943
655	0.3016494845
656	0.3015877961
657	0.3015352383
658	0.3014518097
659	0.3014473778
660	0.301363233
661	0.3013309272
662	0.3012602122
663	0.3012166255
664	0.3011624004
665	0.3011491973
666	0.3011093298
667	0.3010390792
668	0.3009747952
669	0.3009399558
670	0.300870663
671	0.3007925356
672	0.3007900436
673	0.3007123356
674	0.3006085784
675	0.3006046129
676	0.3005188553
677	0.3004253904
678	0.3003476374
679	0.3002749286
680	0.3002188181
681	0.3001317414
682	0.3000561876
683	0.2999839751
684	0.2999017786
685	0.2998519958
686	0.2997446008
687	0.2996640567
688	0.2996082905
689	0.2995357732
690	0.2995317074
691	0.2994581472
692	0.299363852
693	0.2992969661
694	0.2992437937
695	0.2992093591
696	0.2991222757
697	0.2990845731
698	0.2989848715
699	0.2989350842
700	0.2988672734
701	0.2988295457
702	0.2987725652
703	0.2987498376
704	0.2986752533
705	0.2986668216
706	0.2986218253
707	0.298531279
708	0.298470558
709	0.2984670219
710	0.2984336756
711	0.2983979109
712	0.2983109922
713	0.2982773218
714	0.298236408
715	0.2982342099
716	0.2981650788
717	0.2981241185
718	0.2980895675
719	0.2980145321
720	0.2979308978
721	0.2978470787
722	0.2977876181
723	0.2977037443
724	0.2976212527
725	0.2975499051
726	0.2974768023
727	0.2974236052
728	0.2973441392
729	0.2973015201
730	0.2972451104
731	0.297240205
732	0.2972191549
733	0.2972148795
734	0.2971664702
735	0.2971116775
736	0.2970911021
737	0.2970135188
738	0.296952311
739	0.2969140308
740	0.2968600576
741	0.2968328899
742	0.2967974215
743	0.2967209517
744	0.2967181318
745	0.2966854865
746	0.296617869
747	0.2965213552
748	0.2964402699
749	0.2963979801
750	0.2963236309
751	0.2963218223
752	0.2962603964
753	0.2961804973
754	0.2960937901
755	0.2960594792
756	0.2959691357
757	0.295871199
758	0.2957906353
759	0.2957346178
760	0.2957132159
761	0.2956276204
762	0.2955325316
763	0.2954851221
764	0.2954004248
765	0.2953100859
766	0.2952320613
767	0.2952161169
768	0.2951646986
769	0.2950978228
770	0.2950371617
771	0.2949794576
772	0.2949136764
773	0.2948235944
774	0.2947850874
775	0.2947036051
776	0.2946584175
777	0.2945908322
778	0.2945379145
779	0.2944598369
780	0.2943635624
781	0.2942782413
782	0.29423747
783	0.2941630381
784	0.2941085786
785	0.2940314435
786	0.2939403796
787	0.2939022083
788	0.2938137424
789	0.2937555545
790	0.2937267552
791	0.2937248547
792	0.293697037
793	0.2936938364
794	0.2936108519
795	0.2936072057
796	0.2935553795
797	0.2935499501
798	0.2935469696
799	0.2934499247
800	0.2933798118
801	0.2932845863
802	0.293218031
803	0.2931453676
804	0.2930854493
805	0.2930398647
806	0.2929767572
807	0.2929422193
808	0.2929038049
809	0.2928380383
810	0.2927741859
811	0.2926837737
812	0.2926142131
813	0.2925881331
814	0.2925354518
815	0.2924570165
816	0.2923919521
817	0.2923502181
818	0.2922835618
819	0.2922233692
820	0.2921707325
821	0.2921189267
822	0.2920558683
823	0.2919824699
824	0.2919149145
825	0.2918540301
826	0.2917705869
827	0.2917094539
828	0.2916447479
829	0.2915854108
830	0.2915843356
831	0.2915208529
832	0.2914607562
833	0.2913961558
834	0.2913241515
835	0.2912509494
836	0.291194621
837	0.2911931639
838	0.2911634565
839	0.2911261863
840	0.2910539598
841	0.2910328465
842	0.2909590953
843	0.2909062231
844	0.2908269309
845	0.2907760745
846	0.2907062317
847	0.2906024109
848	0.2906005768
849	0.290546402
850	0.2905447331
851	0.2904600177
852	0.290364391
853	0.2903262661
854	0.2902546041
855	0.290253254
856	0.2902254156
857	0.2901533786
858	0.2900995181
859	0.290026561
860	0.289989041
861	0.2899370666
862	0.2899202649
863	0.2898966827
864	0.2898084161
865	0.2898035177
866	0.2897718612
867	0.2896985278
868	0.2896400233
869	0.2895623596
870	0.28951539
871	0.2894731257
872	0.2893941663
873	0.2893357217
874	0.2893236479
875	0.2893191545
876	0.2892706831
877	0.2892004846
878	0.2891924136
879	0.2891526474
880	0.2890909733
881	0.2890121942
882	0.2889946681
883	0.2889728549
884	0.2888918946
885	0.2888293582
886	0.2887615599
887	0.2887584928
888	0.288672833
889	0.2886004231
890	0.2885558423
891	0.2884937548
892	0.2884527823
893	0.2884166677
894	0.2883419375
895	0.2882838015
896	0.2881959196
897	0.2881372116
898	0.2881037679
899	0.2880524655
900	0.2879833354
901	0.2879274713
902	0.2878656302
903	0.287811445
904	0.2877293476
905	0.2877200091
906	0.2876735
907	0.28760979
908	0.2875589698
909	0.2874831166
910	0.2874045511
911	0.2873576266
912	0.2872960955
913	0.2872521044
914	0.2871683112
915	0.2871423246
916	0.2870705084
917	0.2870486701
918	0.2869802645
919	0.286927531
920	0.2868790536
921	0.2868218644
922	0.2867411929
923	0.2867189311
924	0.2866460652
925	0.2865861624
926	0.2865151565
927	0.2864380956
928	0.2863732518
929	0.2863213908
930	0.2863189191
931	0.2862769678
932	0.2862038092
933	0.2861544722
934	0.2861273257
935	0.2860930638
936	0.2860427261
937	0.285985712
938	0.2859158767
939	0.2858358771
940	0.2857949352
941	0.2857926177
942	0.2857843865
943	0.2857333581
944	0.2856909918
945	0.2856552063
946	0.2856265848
947	0.2855771843
948	0.285555386
949	0.2855394019
950	0.2854872101
951	0.2854335705
952	0.2853947773
953	0.2853096967
954	0.2852411924
955	0.285198882
956	0.2851448779
957	0.2851165533
958	0.2850887275
959	0.2850737751
960	0.2850084059
961	0.2849586931
962	0.284891215
963	0.2848109966
964	0.2847963385
965	0.2847448661
966	0.2846704269
967	0.2846113834
968	0.2845331155
969	0.2844810904
970	0.2844175724
971	0.2843353992
972	0.2842737868
973	0.2842024001
974	0.2842017792
975	0.284193851
976	0.2841541178
977	0.2841181155
978	0.2840429897
979	0.2839964594
980	0.2839238583
981	0.2839045228
982	0.2838580758
983	0.2838462251
984	0.283767609
985	0.2837332168
986	0.2836746022
987	0.283663013
988	0.2836605099
989	0.2835994259
990	0.283521552
991	0.2835192133
992	0.2834596907
993	0.2834203552
994	0.2833725994
995	0.2833385517
996	0.2833102834
997	0.2832679572
998	0.2831984955
999	0.2831280848
